epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,2630.98,0.36676,0.2459,0.85727,0.87957,0.87305,0.89113,0.61194,1.37053,0.81632,1.34902,0.000280723,0.000280723,0.000280723
65,2673.79,0.35832,0.23839,0.8552,0.88863,0.88051,0.90039,0.62169,1.35532,0.74602,1.34249,0.000258718,0.000258718,0.000258718
66,2727.85,0.32994,0.20758,0.81851,0.8822,0.86624,0.89185,0.60861,1.37688,0.80178,1.36804,0.000236714,0.000236714,0.000236714
67,2770.4,0.3096,0.19216,0.81152,0.89985,0.87528,0.89739,0.61243,1.35852,0.75984,1.36915,0.00021471,0.00021471,0.00021471
68,2807.61,0.29999,0.18785,0.80943,0.88479,0.87751,0.89885,0.62105,1.36635,0.7881,1.38169,0.000192705,0.000192705,0.000192705
69,2843.94,0.29129,0.18499,0.80857,0.88242,0.87754,0.89453,0.61714,1.35977,0.78141,1.37653,0.000170701,0.000170701,0.000170701
70,2887.12,0.28622,0.18055,0.80589,0.88634,0.86498,0.89816,0.6228,1.36472,0.79669,1.38888,0.000148696,0.000148696,0.000148696
71,2929.7,0.27694,0.1766,0.80984,0.88938,0.88052,0.89773,0.62508,1.35376,0.78295,1.39998,0.000126692,0.000126692,0.000126692
72,2971.3,0.27675,0.17515,0.80752,0.89155,0.88155,0.90295,0.63096,1.35609,0.77763,1.39856,0.000104688,0.000104688,0.000104688
73,3013.03,0.2764,0.17444,0.80727,0.89815,0.87615,0.90278,0.62981,1.35139,0.74322,1.37177,8.26832e-05,8.26832e-05,8.26832e-05
74,3056.6,0.26395,0.17133,0.8017,0.89111,0.88022,0.9011,0.62876,1.3513,0.76492,1.37458,6.06788e-05,6.06788e-05,6.06788e-05
75,3098.87,0.25897,0.16699,0.80141,0.8928,0.87696,0.90009,0.62931,1.34962,0.77803,1.37105,3.86744e-05,3.86744e-05,3.86744e-05
