epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,1335.44,0.51616,0.38999,0.87966,0.79902,0.78524,0.79585,0.44508,1.72827,1.08905,1.92916,0.00120491,0.00120491,0.00120491
58,1347.56,0.48993,0.36962,0.8663,0.84683,0.79469,0.80188,0.44907,1.73655,1.14242,1.94296,0.00119666,0.00119666,0.00119666
59,1359.33,0.49939,0.37641,0.8696,0.84273,0.80757,0.79633,0.44182,1.7096,1.06988,1.942,0.0011884,0.0011884,0.0011884
60,1371.38,0.49204,0.36761,0.8713,0.83519,0.78315,0.77668,0.45331,1.6777,1.19094,1.86638,0.00118015,0.00118015,0.00118015
61,1383.63,0.47631,0.35458,0.85482,0.85106,0.7746,0.78181,0.4605,1.67609,1.40045,1.84784,0.0011719,0.0011719,0.0011719
62,1395.36,0.46963,0.35148,0.86455,0.83574,0.79616,0.78282,0.45986,1.67785,1.2046,1.83758,0.00116365,0.00116365,0.00116365
63,1407.37,0.47454,0.35466,0.85927,0.85968,0.79319,0.79839,0.45991,1.71347,1.18301,1.92269,0.0011554,0.0011554,0.0011554
64,1419.57,0.47513,0.34975,0.86208,0.82237,0.78982,0.77876,0.45797,1.7237,1.18197,1.95588,0.00114715,0.00114715,0.00114715
65,1431.4,0.47928,0.35327,0.86595,0.8099,0.79251,0.79315,0.45133,1.76701,1.26801,1.99591,0.00113889,0.00113889,0.00113889
66,1443.38,0.49224,0.36501,0.87541,0.80265,0.81784,0.7958,0.46662,1.66941,1.11975,1.88423,0.00113064,0.00113064,0.00113064
67,1455.6,0.47343,0.34837,0.86314,0.8292,0.80402,0.8057,0.45644,1.68379,1.05726,1.89902,0.00112239,0.00112239,0.00112239
68,1491.13,0.46725,0.34616,0.86376,0.81823,0.81234,0.80229,0.46879,1.63232,1.10763,1.84804,0.00111414,0.00111414,0.00111414
69,1525.56,0.45497,0.34215,0.85954,0.84085,0.79161,0.80766,0.4607,1.66445,1.15382,1.90038,0.00110589,0.00110589,0.00110589
70,1537.15,0.45631,0.34763,0.85954,0.8335,0.80476,0.80839,0.46143,1.66685,1.17562,1.92362,0.00109764,0.00109764,0.00109764
71,1548.8,0.46181,0.35443,0.86391,0.825,0.79948,0.79316,0.46342,1.63654,1.18157,1.84902,0.00108938,0.00108938,0.00108938
72,1560.42,0.44574,0.33827,0.86141,0.84699,0.76538,0.79862,0.47366,1.64883,1.34718,1.85072,0.00108113,0.00108113,0.00108113
73,1571.92,0.44996,0.33337,0.85788,0.78963,0.79713,0.79951,0.47011,1.6447,1.25208,1.86551,0.00107288,0.00107288,0.00107288
74,1583.3,0.44472,0.34381,0.86169,0.80954,0.82354,0.80873,0.47423,1.65132,1.16844,1.88786,0.00106463,0.00106463,0.00106463
75,1594.65,0.43544,0.33322,0.85835,0.83436,0.8302,0.81104,0.46947,1.6454,1.10575,1.90909,0.00105638,0.00105638,0.00105638
76,1606.26,0.45023,0.34016,0.85433,0.8397,0.79652,0.78728,0.44646,1.70441,1.14205,1.94014,0.00104813,0.00104813,0.00104813
77,1617.86,0.43213,0.32514,0.85728,0.84248,0.79033,0.79645,0.45747,1.69359,1.24404,1.89383,0.00103987,0.00103987,0.00103987
78,1628.79,0.4288,0.32254,0.8474,0.82523,0.8043,0.80095,0.46762,1.68864,1.12522,1.92778,0.00103162,0.00103162,0.00103162
79,1640.19,0.42216,0.32884,0.85074,0.83727,0.78983,0.79072,0.46341,1.70723,1.22219,1.92718,0.00102337,0.00102337,0.00102337
80,1651.46,0.4196,0.31694,0.85042,0.84215,0.80274,0.79915,0.46064,1.71373,1.21924,1.92496,0.00101512,0.00101512,0.00101512
81,1669.41,0.42579,0.32631,0.84833,0.79839,0.80611,0.77829,0.45052,1.72234,1.1556,1.93723,0.00100687,0.00100687,0.00100687
82,1678.81,0.41865,0.31888,0.85273,0.80582,0.80421,0.77265,0.43935,1.72455,1.14126,1.91209,0.000998616,0.000998616,0.000998616
83,1688.92,0.41006,0.31315,0.84572,0.84726,0.78189,0.76758,0.43585,1.73437,1.27291,1.95403,0.000990365,0.000990365,0.000990365
84,1700.28,0.39708,0.30243,0.83799,0.822,0.77651,0.78495,0.45593,1.71057,1.32949,1.94783,0.000982113,0.000982113,0.000982113
85,1711.62,0.39988,0.31153,0.84337,0.81521,0.77215,0.77811,0.44652,1.69907,1.41931,1.90632,0.000973861,0.000973861,0.000973861
86,1722.85,0.39055,0.29724,0.8394,0.85379,0.78012,0.73838,0.42524,1.67214,1.37215,1.93414,0.00096561,0.00096561,0.00096561
87,1734.31,0.40894,0.30664,0.85276,0.82916,0.80043,0.78772,0.44785,1.69116,1.31655,1.97965,0.000957358,0.000957358,0.000957358
88,1745.38,0.39414,0.31668,0.84386,0.8396,0.81363,0.80476,0.46707,1.64053,1.20181,1.92149,0.000949106,0.000949106,0.000949106
89,1756.93,0.38408,0.30072,0.83398,0.83513,0.81183,0.79791,0.46755,1.67823,1.16761,1.95393,0.000940855,0.000940855,0.000940855
